x,y,z,roll,pitch
23,1,293,0.1955624,-4.488721
43,-12,299,-2.298432,-8.177859
57,17,281,3.462328,-11.44716
49,15,291,2.950996,-9.546344
45,16,289,3.169083,-8.83775
82,22,288,4.368599,-15.85015
81,-14,291,-2.754577,-15.53862
123,16,240,3.814356,-27.0856
95,17,282,3.45008,-18.58756
229,-90,375,-13.49673,-30.70429
229,-60,251,-13.44491,-41.58732
225,-29,36,-38.85624,-78.39555
50,32,-116,164.5899,-22.56523
-369,-225,-38,-99.5935,58.27201
-255,28,-31,137.921,80.70258
-309,103,-2,91.11911,71.56709
-353,79,-28,109.5239,76.64884
-146,38,-17,114.1106,74.09089
88,120,-47,111.3968,-34.32886
122,24,125,10.86933,-43.78911
250,18,351,2.93589,-35.42746
99,123,263,25.06643,-18.82964
98,124,311,21.73945,-16.31618
-89,218,247,41.43439,15.11884
-373,89,146,31.36834,65.37744
-200,75,145,27.35189,50.781
-414,2,85,1.347987,78.40026
-224,60,-61,135.4835,69.09938
285,19,41,24.86553,-80.99637
263,153,154,44.81667,-50.4671
70,257,168,56.83168,-12.84396
124,252,268,43.24079,-18.6291
186,164,299,28.74666,-28.61091
193,72,81,41.63661,-60.68916
-50,-77,74,-46.14158,25.09038
-207,180,297,31.2207,30.7992
-66,90,345,14.62195,10.48805
9,91,282,17.88595,-1.739819
-43,62,280,12.48639,8.52801
-36,36,315,6.520282,6.478473
2,57,327,9.888717,-0.3452486
81,23,197,6.659698,-22.21642
227,9,226,2.280653,-45.1071
225,0,173,0.0,-52.44758
192,-59,28,-64.61685,-71.22
73,-44,-176,-165.976,-21.92091
-143,176,-231,142.7065,26.21803
-79,154,-198,142.1355,17.48277
-92,211,-79,110.5344,22.21363
-182,225,-15,93.82098,38.90977
-192,184,23,82.88109,46.00035
-269,153,47,72.92896,59.25152
-52,86,-175,153.8405,14.93327
55,47,-64,143.718,-34.71135
243,60,410,8.326262,-30.39116
35,171,408,22.74109,-4.523952
-161,29,356,4.657413,24.26545
-164,101,209,25.79422,35.24441
-274,64,186,18.98902,54.32968
-136,14,-127,173.7221,46.79073
108,-79,-102,-142.2523,-39.93594
205,5,-134,177.8762,-56.81495
254,62,-108,150.152,-63.88692
-103,12,-43,164.4193,66.57166
-234,60,162,20.32463,53.56677
-132,127,272,25.03027,23.738
30,79,425,10.53087,-3.970223
47,8,312,1.468909,-8.564541
125,9,257,2.005795,-25.92553
231,-147,48,-71.92184,-56.20461
198,-144,49,-71.21294,-52.4715
248,80,5,86.43003,-72.09396
-33,2,-117,179.0339,15.75015
-148,121,-47,111.2358,48.7503
-242,143,151,43.44451,49.32902
-151,106,258,22.33709,28.43149
-92,203,279,36.04224,14.93102
-176,111,191,30.16531,38.54711
-273,89,25,74.31548,71.29787
-148,56,-83,146.0033,55.92499
172,19,85,12.60109,-63.14783
270,-11,104,-6.038127,-68.832
511,193,327,30.55195,-53.38907
67,141,326,23.39094,-10.68318
52,28,399,4.014471,-7.407801
-71,63,245,14.42183,15.67874
-223,-41,250,-9.314285,41.35861
-185,-46,99,-24.92361,59.46033
-142,-44,-60,-143.7568,62.35122
-83,72,-127,150.4609,29.62185
240,14,281,2.852446,-40.4683
181,41,289,8.075178,-31.80491
246,-42,314,-7.619108,-37.83297
